 简写,英文全称,中文全称
WHO ,World Health Organization ,世界卫生组织 
FAO ,Food and Agriculture Organization of the United Nations ,联合国粮农组织 
CAC ,Codex Alimentarius Commission ,国际食品法典委员会 
JECFA ,Joint FAO/WHO Expert Committee on Food Additives ,FAO/WHO食品添加剂联合专家委员会 
EFSA ,European Food Safety Authority ,欧洲食品安全局 
IARC ,International Agency for Research on Cancer ,国际癌症研究机构 
NOAEL ,No Observed Adverse Effect Level ,无可见有害作用水平 
LOAEL ,Lowest Observed Adverse Effect Level ,最低观察到有害作用水平 
BMD,Benchmark dose,基准剂量
BMDL10,Benchmark dose lower confidence limit for an extra cancer risk of 10%,引起10%反应的基准剂量低限值
LD50 ,Median Lethal Dose ,半数致死剂量 
LOEL ,Lowest Observed Effect Level ,最低观察到作用水平 
PTWI ,Provisional Tolerable Weekly Intake ,暂定每周可耐受摄入量 
LOD ,Limit of Detection ,检出限 
ND ,Not Detected ,未检出 
